NR,LK,LKNR,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022
254,LK Nordfriesland,1054,630,728,839,711,986,1124,1152
255,LK Nordhausen,16062,319,339,341,325,335,332,332
256,LK Nordsachsen,14730,623,573,616,601,608,684,694
257,LK Nordwestmecklenburg,13074,383,469,559,603,610,650,647
258,LK Northeim,3155,250,287,304,305,343,343,343
260,LK Nürnberger Land,9574,278,299,333,358,409,434,477
261,LK Oberallgäu,9780,385,406,407,381,361,457,491
262,LK Oberbergischer Kreis,5374,747,902,919,928,971,992,1019
264,LK Oberhavel,12065,542,746,963,1128,1199,1199,1249
265,LK Oberspreewald-Lausitz,12066,308,338,337,263,358,341,340
266,LK Odenwaldkreis,6437,176,178,175,190,200,227,211
267,LK Oder-Spree,12067,836,938,911,979,977,1017,1021
269,LK Offenbach,6438,881,1017,1164,1227,1425,1630,1626
271,LK Oldenburg,3458,324,289,286,293,366,435,440
272,LK Olpe,5966,123,135,209,275,291,294,294
273,LK Ortenaukreis,8317,1095,1090,1244,1159,1212,1426,1574
275,LK Osnabrück,3459,617,649,726,777,810,858,932
276,LK Ostalbkreis,8136,490,532,613,526,625,755,745
277,LK Ostallgäu,9777,488,499,522,451,553,514,699
278,LK Osterholz,3356,526,599,606,468,686,790,840
279,LK Ostholstein,1055,407,460,588,889,1202,1202,1202
280,LK Ostprignitz-Ruppin,12068,223,235,289,313,303,329,329
281,LK Paderborn,5774,649,615,577,595,644,756,756
283,LK Passau,9275,267,273,302,324,306,326,361
284,LK Peine,3157,213,226,238,268,277,346,346
285,LK Pfaffenhofen a.d.Ilm,9186,252,265,293,295,321,389,402
287,LK Pinneberg,1056,838,999,1204,1239,1262,1349,1350
289,LK Plön,1057,234,280,344,378,439,484,460
291,LK Potsdam-Mittelmark,12069,776,795,835,897,1070,1156,1243
292,LK Prignitz,12070,366,394,414,410,402,447,447
293,LK Rastatt,8216,568,680,699,727,624,766,775
294,LK Ravensburg,8436,678,750,831,879,859,1003,1076
295,LK Recklinghausen,5562,1019,1097,1007,1122,1163,1287,1370
296,LK Regen,9276,118,123,136,149,141,148,164
298,LK Regensburg,9375,418,407,438,454,513,512,559
300,LK Rems-Murr-Kreis,8119,891,942,1088,1035,904,1082,1149
301,LK Rendsburg-Eckernförde,1058,951,1377,1590,1758,1602,1579,1499
302,LK Reutlingen,8415,593,615,687,634,695,841,828
303,LK Rhein-Erft-Kreis,5362,1053,1043,1268,1352,1390,1449,1689
304,LK Rheingau-Taunus-Kreis,6439,480,529,561,545,554,599,626
305,LK Rhein-Hunsrück-Kreis,7140,103,153,170,182,202,230,242
306,LK Rheinisch-Bergischer Kreis,5378,610,671,848,912,933,1088,1031
307,LK Rhein-Kreis Neuss,5162,625,798,827,797,877,893,905
308,LK Rhein-Lahn-Kreis,7141,203,231,258,259,309,312,312
309,LK Rhein-Neckar-Kreis,8226,990,1152,1224,1224,1444,1473,1573
310,LK Rhein-Pfalz-Kreis,7338,270,280,319,309,381,411,421
311,LK Rhein-Sieg-Kreis,5382,1024,1047,1393,1575,1595,1784,1716
312,LK Rhön-Grabfeld,9673,242,217,159,173,228,286,303
314,LK Rosenheim,9187,576,637,739,706,852,853,856
316,LK Rostock,13072,598,749,837,848,834,883,879
317,LK Rotenburg (Wümme),3357,315,307,287,303,301,292,277
318,LK Roth,9576,222,205,227,221,223,227,246
319,LK Rottal-Inn,9277,202,218,235,263,279,265,281
320,LK Rottweil,8325,430,381,381,385,373,438,481
321,LK Saale-Holzland-Kreis,16074,344,349,289,281,249,268,272
322,LK Saalekreis,15088,672,670,653,560,574,535,522
323,LK Saale-Orla-Kreis,16075,285,275,248,217,180,177,178
324,LK Saalfeld-Rudolstadt,16073,504,495,458,468,445,462,462
325,LK Saarlouis,10044,336,402,423,441,474,546,565
326,LK Saarpfalz-Kreis,10045,248,281,345,399,423,496,479
327,LK Sächsische Schweiz-Osterzgebirge,14628,1006,856,1005,941,911,1029,923
329,LK Salzlandkreis,15089,511,514,495,426,411,441,438
330,LK Sankt Wendel,10046,309,413,443,469,483,466,452
331,LK Schaumburg,3257,244,288,265,322,352,392,404
332,LK Schleswig-Flensburg,1059,331,372,396,421,475,481,468
333,LK Schmalkalden-Meiningen,16066,424,431,416,361,381,373,372
